date,run,ball,min
18 March 2012,52,48,93
18 March 2012,114,147,205
18 March 2012,6,19,25
28 February 2012,39,30,48
28 February 2012,14,15,34
28 February 2012,22,23,33
28 February 2012,3,12,21
28 February 2012,15,24,25
28 February 2012,48,63,87
28 February 2012,2,6,9
2 April 2011,18,14,21
30 March 2011,85,115,160
24 March 2011,53,68,93
20 March 2011,2,4,4
20 March 2011,111,101,184
20 March 2011,27,22,45
20 March 2011,38,56,91
20 March 2011,120,115,170
20 March 2011,28,29,46
15 January 2011,24,44,78
12 January 2011,7,11,16
24 February 2010,200,147,226
21 February 2010,4,5,11
24 December 2009,8,8,19
21 December 2009,96,104,187
18 December 2009,43,52,76
15 December 2009,69,63,91
8 November 2009,10,17,23
5 November 2009,175,141,210
2 November 2009,40,68,86
31 October 2009,32,47,63
28 October 2009,4,8,14
25 October 2009,14,29,40
26 September 2009,8,14,19
14 September 2009,138,133,214
12 September 2009,27,33,-
11 September 2009,46,55,-
8 March 2009,163,133,206
6 March 2009,61,69,100
3 March 2009,20,23,43
3 February 2009,7,12,9
31 January 2009,6,9,-
28 January 2009,5,16,15
26 November 2008,50,57,99
23 November 2008,11,21,-
4 March 2008,91,121,176
2 March 2008,117,120,235
26 February 2008,63,54,92
24 February 2008,2,3,3
19 February 2008,0,2,6
17 February 2008,5,15,23
12 February 2008,32,30,41
10 February 2008,44,54,123
5 February 2008,35,52,70
3 February 2008,10,17,-
18 November 2007,30,27,-
15 November 2007,97,102,-
11 November 2007,29,27,-
8 November 2007,99,91,-
5 November 2007,4,7,-
17 October 2007,21,36,52
14 October 2007,72,72,105
11 October 2007,47,73,128
8 October 2007,79,119,184
5 October 2007,43,71,119
2 October 2007,16,25,43
29 September 2007,0,6,9
8 September 2007,30,46,80
5 September 2007,94,81,-
7 September 2007,71,59,87
30 August 2007,55,86,128
27 August 2007,8,19,42
24 August 2007,99,112,158
21 August 2007,17,33,-
1 July 2007,8,8,10
29 June 2007,93,106,140
26 June 2007,99,143,199
23 June 2007,4,3,4
23 March 2007,0,3,5
19 March 2007,57,29,46
17 March 2007,7,26,40
14 February 2007,1,8,13
11 February 2007,54,61,94
31 January 2007,100,76,110
27 January 2007,60,66,112
24 January 2007,0,6,6
21 January 2007,31,38,54
3 December 2006,55,97,134
29 November 2006,1,3,4
26 November 2006,2,9,20
22 November 2006,35,51,79
29 October 2006,10,26,46
26 October 2006,29,45,81
15 October 2006,35,41,87
22 September 2006,4,10,11
20 September 2006,65,102,154
16 September 2006,12,17,30
14 September 2006,141,148,246
18 August 2006,2,3,16
16 February 2006,0,3,7
13 February 2006,95,104,157
11 February 2006,42,43,71
6 February 2006,100,113,188
28 November 2005,30,44,77
25 November 2005,2,15,18
19 November 2005,2,22,31
16 November 2005,2,9,20
12 November 2005,39,48,76
9 November 2005,19,30,46
3 November 2005,11,19,28
31 October 2005,2,3,2
28 October 2005,67,69,87
25 October 2005,93,96,149
17 April 2005,9,15,38
15 April 2005,1,10,-
12 April 2005,123,130,192
9 April 2005,6,11,15
5 April 2005,2,8,17
2 April 2005,4,4,-
27 December 2004,47,42,60
23 December 2004,19,32,46
13 November 2004,16,17,30
1 August 2004,74,100,-
27 July 2004,18,21,30
25 July 2004,78,103,-
21 July 2004,82,126,157
18 July 2004,11,13,17
16 July 2004,18,25,39
24 March 2004,37,48,60
21 March 2004,7,13,22
19 March 2004,0,5,7
16 March 2004,141,135,173
13 March 2004,28,35,49
8 February 2004,27,40,38
6 February 2004,8,22,28
3 February 2004,3,8,16
1 February 2004,5,6,17
18 January 2004,86,95,129
14 January 2004,44,59,107
9 January 2004,63,69,117
18 November 2003,45,66,-
